
===== Bilingual — gold line ⇐ Claude line (occ | pages | modules) =====
      15 |    10 |    8 | ┌ 2× repeated:  ⇐  ┌ 4× repeated:
       8 |     8 |    4 | h2  ⇐  h3
       3 |     3 |    3 | div.col-md-12.col-12  ⇐  div.col-12
       3 |     3 |    2 | div.col-md-10.col-12  ⇐  div.col-12
       3 |     3 |    3 | ┌ 4× repeated:  ⇐  ┌ 6× repeated:
       3 |     2 |    2 | ┌ 2× repeated:  ⇐  ┌ 6× repeated:
       2 |     2 |    2 | div.videoSection.icon.ratio.ratio-16x9  ⇐  div.videoSection.ratio.ratio-16x9
       2 |     2 |    2 | div.acks.acksTemplate.acksAI  ⇐  div.acks.acksTemplate
       2 |     2 |    2 | div.col-md-12.col-12  ⇐  ┌ 2× repeated:
       2 |     2 |    2 | div.whakatauki  ⇐  h3
       2 |     2 |    2 | div.col-md-8.col-12  ⇐  div.col-12
       2 |     2 |    2 | ┌ 4× repeated:  ⇐  ┌ 2× repeated:
       1 |     1 |    1 | div.activity[number=2.4]  ⇐  div.activity.interactive[number=2.3]
       1 |     1 |    1 | h2  ⇐  audio.audioPlayer.icon
       1 |     1 |    1 | ┌ 6× repeated:  ⇐  ┌ 3× repeated block of 2:
       1 |     1 |    1 | div.row  ⇐  audio.audioPlayer.icon
       1 |     1 |    1 | WIDGET  ⇐  audio.audioPlayer.icon
       1 |     1 |    1 | ┌ 6× repeated:  ⇐  ┌ 8× repeated:
       1 |     1 |    1 | ┌ 2× repeated:  ⇐  ┌ 12× repeated:
       1 |     1 |    1 | ┌ 3× repeated:  ⇐  ┌ 2× repeated:
       1 |     1 |    1 | i  ⇐  ┌ 2× repeated:
       1 |     1 |    1 | ┌ 12× repeated:  ⇐  ┌ 2× repeated:
       1 |     1 |    1 | div.activity[number=2.4]  ⇐  div.alert.solid
       1 |     1 |    1 | div.row  ⇐  ┌ 2× repeated:
       1 |     1 |    1 | div.col-md-8.col-12  ⇐  div.row
       1 |     1 |    1 | div.alert  ⇐  div.col-md-8.col-12
       1 |     1 |    1 | div.row  ⇐  div.alert.solid
       1 |     1 |    1 | div.col-12  ⇐  div.row
       1 |     1 |    1 | ┌ 2× repeated:  ⇐  div.col-12
       1 |     1 |    1 | div.activity.dropbox[number=2A]  ⇐  div.activity.interactive[number=2A]
       1 |     1 |    1 | h3  ⇐  audio.audioPlayer.icon
       1 |     1 |    1 | div.activity.interactive[number=3.3]  ⇐  div.activity.interactive[number=4.4]
       1 |     1 |    1 | ┌ 3× repeated:  ⇐  ┌ 4× repeated:
       1 |     1 |    1 | img.img-fluid  ⇐  WIDGET
       1 |     1 |    1 | div.row  ⇐  ┌ 14× repeated:
       1 |     1 |    1 | div.col-md-6.offset-md-3.col-12  ⇐  p
       1 |     1 |    1 | div.activity.alertPadding[number=1E]  ⇐  div.activity.interactive[number=1.5]
       1 |     1 |    1 | div.activity.alertPadding[number=1H]  ⇐  ┌ 2× repeated:
       1 |     1 |    1 | div.row  ⇐  h3
